,data_point_id,annotator_id,label,original_text,category
140,140,NA,NA,"['In addition, CHT may terminate this Agreement and the rights granted hereunder, in whole or in part, and without prejudice to enforcement of any other legal right or remedy (including any express termination right set forth elsewhere in this Agreement), at any time without cause, by providing at least thirty (30) Business Days prior written notice to Ehave, but subject to payment of a termination fee equal to an amount set out in Schedule 6.']",Liquidated Damages
141,141,NA,NA,['theglobe shall provide a minimum of *** impressions per month of promotion for auctions on the Co-Branded Pages (including without limitation any of the foregoing).'],Minimum Commitment
142,142,NA,NA,"['Notwithstanding any portion of the foregoing to the contrary, the Non-Competition Period shall terminate prior to the End Date, and for the avoidance of doubt, no party shall be obligated to comply with the restrictions set out in Section 8.1 after the termination of the Non-Competition Period:', 'Each Party agrees that, from the Effective Date and through the three (3) month period (""Enterprise Non-Competition Period"") immediately following the date (""Enterprise Launch Date"") that Skype launches an enterprise version of the Skype Software primarily targeted for non-Consumer customers (""Enterprise Skype Software""), no Party, nor any of their respective Subsidiaries, will (i) discuss, negotiate or enter into (whether verbal or in writing) with any third Person or other third party (""Other Party"") any understanding, arrangement, or memorandum of understanding, letter of intent, agreement or any other documents (whether or not legally binding); and/or (ii) voluntarily accept or solicit any offer made by any Other Party in respect of or in relation to, (a) in the case of Skype, an enterprise co-branded Internet-based application in simplified Chinese that is focused on, and targeted primarily at, non-Consumers within the PRC, and that is substantially similar in functionality and features as the Enterprise Skype Software, and (b) in the case of Online BVI, Tom Holding and the Company, any voice over internet protocol and/or instant messaging products or services that compete or are likely to compete with the Enterprise Skype Software', 'Each Party agrees that, for a period of five years (""Non-Competition Period"") from the Effective Date (""End Date""), no Party, nor any of their respective Affiliates, will enter into an agreement with any third party, or otherwise carry on any business, directly or indirectly, which is focused on, and targets, primarily Consumers within the PRC, and (i) in the case of Skype and Skype Holding, which provides for a co-branded Internet-based application in simplified Chinese similar in functionality and features as the Company-Skype Branded Application (as may be updated or upgraded from time to time) (and for the avoidance of doubt, a co-branded Internet-based application in simplified Chinese shall be similar in functionality and features as the Company-Skype Branded Application only in the event such application is a customized co-branded version of the Skype Software having one or more functionality or features contained in the Company-Skype Branded Application), or provides for distribution in the PRC of the Skype Software in simplified Chinese by a Primarily PRC Based Service Provider; and (ii) in the case of Online BVI, Tom Holding and the Company, which provides for any voice over internet protocol and/or instant messaging products or services that compete or are likely to compete with the Skype Software.']",Non-Compete
143,143,NA,NA,"['Throughout the Term and for a period of six (6) months after the expiration or termination of this Agreement, neither XSPA nor any of its affiliates shall, directly or indirectly, sell, offer for sale, market or promote any digital meditation or digital sleep products (other than the Products), including online or in any Store in the Territory, without the express prior written consent of Calm.', 'Throughout the Term and for a period of six (6) months after the expiration or termination of this Agreement, neither Calm nor any of its affiliates shall, directly or indirectly, sell, offer for sale, market or promote any digital meditation or digital sleep products in any retail location located in an airport other than in collaboration with XSPA, without the express prior written consent of XSPA.']",Non-Compete
144,144,NA,NA,"[""NEITHER LBIO NOR MD ANDERSON, NOR ANY OF THEIR AFFILIATES, NOR ANY OF THEIR RESPECTIVE DIRECTORS, OFFICERS, MEMBERS OR EMPLOYEES, SHALL HAVE ANY LIABILITY OF ANY TYPE, FOR ANY SPECIAL, PUNITIVE, INCIDENTAL, INDIRECT OR CONSEQUENTIAL DAMAGES, INCLUDING THE LOSS OF OPPORTUNITY, LOSS OF USE, OR LOSS OF REVENUE OR PROFIT, IN CONNECTION WITH OR ARISING OUT OF THIS AGREEMENT OR ANY STUDY ORDER; PROVIDED, THAT, THE FOREGOING DISCLAIMER SHALL NOT APPLY WITH RESPECT TO (1) A PARTY'S INDEMNIFICATION OBLIGATIONS, (2) A PARTY'S BREACH OF ITS OBLIGATIONS UNDER THIS AGREEMENT WITH RESPECT TO CONFIDENTIALITY AND NON-USE OR INTELLECTUAL PROPERTY-RELATED MATTERS OR (3) A PARTY'S GROSS NEGLIGENCE OR WILLFUL MISCONDUCT.""]",Cap On Liability
145,145,NA,NA,"[""Zogenix will have the right, upon reasonable prior written notice and during Distributor's regular business hours, to audit Distributor's and its Affiliates' books and records by an independent certified public accounting firm of recognized international standing, and Distributor shall ensure that Zogenix has the right to audit its Sub-distributors' and subcontractors' books and records, to investigation potential violations of any of the representations, warranties or covenants in this Section 10.2, the FCPA or other Applicable Laws or Distributor's compliance policies."", 'Inspections conducted under this Section 7.5 shall be at the expense of Zogenix, unless a variation or error producing an underpayment in amounts payable exceeding [***] of the amount paid for a period covered by the inspection is established, in which case all reasonable costs relating to the inspection for such period shall be paid by Distributor.', ""Such inspections may be made no more than once each Fiscal Year (unless an audit or inspection reveals a material inaccuracy in reports made under this Agreement, in which case it may be repeated within such Fiscal Year), and during normal business hours, with reasonable efforts to minimize disruption of Distributor's normal business activities."", ""Upon reasonable prior written notice, Distributor shall permit an independent, certified public accountant selected by Zogenix and reasonably acceptable to Distributor, which acceptance will not be unreasonably withheld or delayed, to audit or inspect those books or records of Distributor and its Affiliates and Sub-distributors that relate to Net Sales for the sole purpose of verifying: (a) the payments due hereunder and payments due under the Supply Agreement; (b) the withholding taxes, if any, required by Applicable Laws to be withheld; and (c) Distributor's compliance with Sections 10.1 and 10.2. Such accountant will disclose to Zogenix only the amount and accuracy of payments reported and actually paid or otherwise payable under this Agreement or the Supply Agreement, and will send a copy of the report to Distributor at the same time it is sent to Zogenix. Prompt adjustments (including<omitted>interest under Section 7.6 for underpaid amounts) shall be made by the Parties to reflect the results of such audit."", 'Such records shall be subject to inspection in accordance with Section 7.5.', 'Such audit may be made no more than once each Fiscal Year (unless an audit reveals a violation under this Agreement, in which case an additional audit may be conducted within such Fiscal Year);', ""Not more than once per Fiscal Year or as otherwise agreed by the Parties, and subject to the terms of the applicable agreement between Zogenix and its Third Party manufacturers, Zogenix shall, at Distributor's request, conduct GMP audits of the Third Party manufacturers and, if applicable, exercise such other audit rights that Zogenix may have under such agreements, and shall disclose to Distributor the results of such audits.""]",Audit Rights
146,146,NA,NA,"[""Licensee acknowledges that Fox is the owner of all right, title and interest in and to the PSM and the Properties, and further acknowledges the great value of the goodwill associated with the PSM and the Properties and that the PSM and the Properties have acquired secondary meaning in the mind of the public and that the trademarks and copyrights included in the PSM and the Properties, and the registrations thereof, are valid and subsisting, and further agrees that it shall not during the Term of this Agreement or at any time thereafter dispute or contest directly or indirectly, or do or cause to be done any act which in any way contests, impairs or tends to impair Fox's<omitted>exclusive rights and title to the PSM and the Properties, or the validity thereof or the validity of this Agreement, and shall not assist others in so doing."", ""Licensee hereby does forever waive and agree never to assert any and all Moral Rights it may have in Fox's Intellectual Property Rights in and to the PSM and the Fox Intellectual Property and any derivative works thereof and shall cause its employees and contractors (including the developers) to do likewise.""]",Covenant Not To Sue
147,147,NA,NA,"['Western Copper covenants and agrees with Glamis that, for a period of 2 years after the Effective Date, it will not, directly or indirectly, either individually or in partnership or  jointly or in conjunction with any Person, which will include being a principal, agent,  shareholder, or advisor of such Person or in any other manner whatsoever,\n\n(a) carry on or be engaged in Mining Activities, or<omitted>(b) advise, lend money to, guarantee the debts or obligations of or permit its name to  be used by any Person who carries on or is engaged in Mining Activities,\n\nin the Area of Non-Competition.']",Non-Compete
148,148,NA,NA,"['Except as otherwise agreed hereunder, if Party A or its subsidiaries fail to pay the Service Fee in full on schedule according to provisions of Article 4.1 and Article 4.2, then Party A or its subsidiaries shall, in addition to the continuance of the payment of Service Fee in full, it shall pay Party B the liquidated damages at a daily interest rate of 0.03% in respect of the outstanding Service Fee.']",Liquidated Damages
149,149,NA,NA,"['In order to preserve the validity and integrity of the Marks and\n\n\n\n\n\ncopyrighted material licensed to you and to assure that you are properly employing the same in the operation of your Franchised Restaurant, we and our agents have the right of entry and inspection of your premises and operating procedures at all reasonable times.', 'We shall have the right at all times to access the information system and to retrieve, analyze, download and use all software, data and files stored or used on the information system.', ""If an inspection discloses an understatement in any report of two percent (2%) or more, you will also reimburse us for any and all costs and expenses connected with the inspection (including, without limitation, reasonable accounting and attorneys' fees), and we will thereafter have the right to require you to submit annual financial statements, prepared in accordance with generally accepted accounting principles, audited by an independent certified public accountant."", 'We may access the information system in the Franchised Restaurant or from other locations.', 'We or our designated agents have the right at all reasonable times to examine and copy, at our expense, your books, records, and tax returns.', 'We also have the right, at any time, to have an independent audit made of your books and records at our expense.', 'We will have the right to observe the manner in which you are rendering your services and conducting your operations, to confer with your employees and customers, and to select Menu Items, ingredients, food and<omitted>non-food products, beverages, and other items, products, delivery vehicles, products and supplies for test of content and evaluation purposes to make certain that the Menu Items, ingredients, food and non-food products, beverages and other items, products, delivery vehicles, materials and supplies are satisfactory and meet our quality control provisions and performance standards.', 'You will make available to us all original books and records that we may deem necessary to ascertain your Gross Sales for reasonable inspection at reasonable times.']",Audit Rights
150,150,NA,NA,"['If Pretzel Time exercises its right of first refusal,  Franchisee  (and its Owners)  agrees that,  for a period of twelve (12) months  commencing on the date of the closing,  neither  Franchisee (nor its Owners) shall have any direct or indirect interest  (through a member of the immediate  families of Franchisee or its Owners of  otherwise)  as a  disclosed  or  beneficial  owner,  investor, partner, director, officer, employee, consultant, representative, or agent or in any other capacity in any Competitive Business located or operating within three (3) miles of the Unit,  and/or  three (3) miles of any other  Pretzel Time Unit.', 'In the event the closing of the purchase does not occur within said ninety (90) day period because Franchisee fails to act diligently in connection therewith,  the purchase price shall be reduced by ten percent (10%).', ""Franchisee  further agrees that the purchase  price shall be further  reduced by ten percent (10%) per month for each subsequent  month  Franchisee  fails to act diligently to consummate this  transaction.  In the event that Franchisee cannot deliver clear title to all of the purchased assets as aforesaid, or in the event there are other unresolved  issues, at Pretzel Time's option,  the losing of the sale shall be accomplished through an escrow."", 'Pretzel Time  shall  have the  unrestricted  right to assign  this  option to  purchase.', ""If  Pretzel  Time  does not  exercise  its  right  of  first  refusal, Franchisee or its Owners may complete the sale to such purchaser pursuant to and on the exact  terms of such  offer,  subject to Pretzel  Time's  approval of the Transfer as provided in Section 17,  provided that if the sale to such purchaser is not completed  within 120 days after  delivery of such offer to Pretzel Time, or if there is a  material  change  in the terms of the sale  (which  Franchisee shall  promptly  communicate  to Pretzel  Time),  Pretzel  Time's right to first refusal shall be extended for thirty (30) days after the  expiration of such 120 day period or after the material change in the terms of the sale so communicated to Pretzel Time."", ""Pretzel  Time  shall  have the right,  exercisable  by written  notice delivered to Franchisee  (or its Owners) within sixty (60) days from the date of delivery  of an exact copy of such  offer to  Pretzel  Time,  to  purchase  such interest for the price and on the terms and conditions  contained in such offer, provided that Pretzel Time may substitute cash for any form of payment  proposed in such offer,  Pretzel Time's credit shall be deemed equal to the credit of any proposed  purchaser and Pretzel Time shall have not less than sixty (60) days to prepare  for  closing."", 'If Pretzel  Time exercises its right of first refusal, Franchisee (and its Owners) further agrees that he will abide by the restrictions of Section 17.C.(13).', ""The  purchase  price  shall be paid in cash at the  closing  of the purchase, which shall take place no later than ninety (90) days after receipt by Franchisee  of Pretzel  Time's notice of exercise of this option to purchase the Unit, at which time Franchisee shall deliver instruments transferring to Pretzel Time or its assignee good and merchantable  title to the assets purchased,  free and clear of all liens and encumbrances  with all sales and other transfer taxes paid by  Franchisee,  and all  licenses  or  permits  of the Unit  which  may be assigned or transferred."", 'If Pretzel Time or its assignee  exercises this option to purchase, pending  the  closing of such  purchase,  Pretzel  Time may appoint a manager to maintain the operation of the Unit, at its option,  require  Franchisee to close the Unit during such time period  without  removing any asset', 'Upon  termination of this Agreement by Pretzel Time in accordance  with its terms and  conditions or by Franchisee  without cause or upon  expiration of this  Agreement  (unless the franchise  has been  renewed),  Pretzel  Time,  its Affiliates  or  its  assignee  shall  have  the  option  (not  the  obligation), exercisable  by giving  written  notice  thereof within sixty (60) days from the date of such  expiration  or  termination,  to acquire from  Franchisee  all the assets  in the Unit  including  the  equipment,  furnishings,  signs,  leasehold improvements,  usable  inventory  of  Products,  materials,  supplies  and other tangible assets of the Unit and an assignment of the lease for the Unit.', 'If  Franchisee  (or its Owners)  shall at any time  determine to sell, assign or transfer for consideration  this Agreement or an Ownership Interest in Franchisee  or the Unit,  Franchisee  (or its Owners)  shall obtain a bona fide, executed  written offer and earnest  money deposit from a responsible  and fully disclosed purchaser (including lists of the Owners of record and beneficially of any corporate  offeror and all general and limited  partners of any  partnership offeror and, in the case of a publicly-held  corporation or limited partnership, copies of the most current annual and quarterly  reports) and shall  immediately submit to Pretzel  Time a true and  complete  copy of such  offer,  which  shall include  details of the payment  terms of the proposed  sale and the sources and terms of any financing for the proposed purchase price.']",Rofr/Rofo/Rofn
151,151,NA,NA,"['ENERGOUS may not negotiate with any third party the rights to market, sell or distribute any New Product until the earliest to occur of the following (a) DIALOG does not provide ENERGOUS with notice that it desires to add such New Product to this Agreement within the above-described [***] period, (b) ENERGOUS and DIALOG do not reach mutually agreeable terms for adding such New Product to this Agreement during the [***] negotiation period or (c) DIALOG provides ENERGOUS with written notice that it does not wish to negotiate with respect to such New Product.', 'Upon receipt of such notice, DIALOG will have [***] to notify ENERGOUS in writing that it desires to add such New Product as Product under this Agreement.', 'In the event that ENERGOUS develops New Product, ENERGOUS will provide DIALOG with written notice describing the New Product before marketing, selling or distributing the New Product with or to any third party.', ""If DIALOG provides such a notice, for a period of [***] following ENERGOUS' receipt of such notice, ENERGOUS and DIALOG will negotiate in good faith the terms pursuant to which such New Product will be added as a Product to this Agreement.""]",Rofr/Rofo/Rofn
152,152,NA,NA,"[""The provisions of Section 9.1 and Section 9.2 will not apply to limit the Licensee's indemnification obligations under Section 8.2, or in the case of Licensee's gross negligence or wilful misconduct.""]",Uncapped Liability
153,153,NA,NA,['LICENSEE is also granted a limited  non-transferable non-exclusive license to Licensed Source Code to perform software maintenance functions according the terms set forth in Article 7 of this Agreement.'],Non-Transferable License
154,154,NA,NA,"['Distributor acknowledges that Company owns and retains all patents, trademarks, copyrights and other proprietary rights in the Products, and agrees that it will not at any time during or after the termination of this Agreement assert or claim any interest in or take any action which may adversely affect the validity or enforceability of any trademark, trade name, trade secret, copyright, or other proprietary right owned by or licensed to Company.']",Covenant Not To Sue
155,155,NA,NA,"[""Each of the Parties may, at its own expense, audit the other Party's compliance with this Agreement, including but not limited to, auditing the other Party's representations and warranties.""]",Audit Rights
156,156,NA,NA,"['MD Anderson hereby grants LBIO a non-exclusive, royalty free, perpetual license (with rights to sub-license) under, in and to all Background Intellectual Property that is: (a) owned by MD Anderson; (b) consists of and/or comprises the manufacturing protocol utilized by MD Anderson in the conduct of a Study; and (c) reasonably necessary to exploit (including developing, obtaining and maintaining regulatory approval for, manufacturing, or commercializing) any Invention, Study result, or Study article, or any improvement or derivative thereof, strictly limited to the Fields (collectively, the ""Non-Exclusively Licensed MD Anderson Background Intellectual Property""), to the extent that such Non- Exclusively Licensed MD Anderson Background Intellectual Property does not include Third Party IP (as defined hereinafter).', 'MD Anderson also grants LBIO a non-exclusive, royalty free, perpetual license (with rights to sub-license) under, in and to any and all data generated by MD Anderson in conducting studies of TILs in double refractory melanoma outside of the Collaboration and as of the Effective Date, and LBIO shall have unrestricted rights to use such double refractory melanoma data in governmental and regulatory submissions, including submissions that may become public.']",Irrevocable Or Perpetual License
157,157,NA,NA,"[""NOTWITHSTANDING THE FOREGOING, NOTHING IN THIS SECTION 14.7 IS INTENDED TO OR SHALL LIMIT OR RESTRICT THE INDEMNIFICATION RIGHTS OR OBLIGATIONS OF ANY PARTY UNDER ARTICLE 14, OR DAMAGES AVAILABLE FOR A PARTY'S BREACH OF CONFIDENTIALITY OBLIGATIONS IN ARTICLE 12.""]",Uncapped Liability
158,158,NA,NA,"['The  Exit  Fee  shall  be  paid  by  Affiliate  immediately prior to the assignment  or  Transfer of Merchants and/or its net revenue.  The amount of the Exit Fee during and following the termination of this Agreement shall be defined as  the  following:  (1)  the aggregate sum, per transferring merchant, equal to eighteen  (18) months net recurring revenue normally paid to Affiliate under the compensation  terms  of  this  Agreement  to  a  maximum  of  $250,000.']",Liquidated Damages
159,159,NA,NA,"['Logo Size: The minimum logo size is 1"" or 25mm.', 'In digital formats, the minimum width is 100 pixels at 72 dpi.']",Minimum Commitment
160,160,NA,NA,"['During the term of this agreement, Distributor shall not market, sell advertise or promote the sale or use of any product or device which is competitive with or substantially similar to the Products, without the prior express written consent of Erchonia, nor shall they assist any third party in doing so.']",Non-Compete
161,161,NA,NA,"['During the Term, neither Company nor any of its Affiliates (including, for the avoidance of doubt, any Third Party that becomes an Affiliate of Company after the Effective Date) shall, alone or in collaboration with any Third Party, market, promote, sell, distribute or otherwise commercialize in the Territory any Competing Product without the prior written consent of Janssen.']",Non-Compete
162,162,NA,NA,"['NEITHER PARTY SHALL BE LIABLE, WHETHER BASED ON CONTRACT LAW, TORTS OR ANY OTHER AREA OF LAW, FOR ANY INDIRECT, INCIDENTAL, SPECIAL OR CONSEQUENTIAL DAMAGES ARISING OUT OF OR IN ANY WAY RELATED TO THIS AGREEMENT OR ITS PERFORMANCE AND THE MAXIMUM TOTAL LIABILITY OF EITHER PARTY WHETHER BASED ON<omitted>CONFIDENTIAL TREATMENT REQUESTED. INFORMATION FOR WHICH CONFIDENTIAL TREATMENT HAS BEEN REQUESTED IS OMITTED AND MARKED WITH ""[***]"". AN UNREDACTED VERSION OF THE DOCUMENT HAS ALSO BEEN FURNISHED SEPARATELY TO THE SECURITIES AND EXCHANGE COMMISSION AS REQUIRED BY RULE 406 UNDER THE SECURITIES ACT OF 1933, AS AMENDED. CONTRACT LAW, TORTS OR ANY OTHER AREA OF LAW SHALL BE LIMITED TO THE AMOUNT [***].']",Cap On Liability
163,163,NA,NA,"['Turpin  shall  not,  directly  or      indirectly,  apply for or seek registration of any  Intellectual  Property      Rights in any Work Product in any jurisdiction  without the express written      approval of the  Company.', ""Turpin  covenants that Turpin shall not at any      time directly or indirectly contest or assist any third party in contesting      the Company's right,  title, and interest in and to the Work Product or any      Intellectual  Property  Rights  therein.""]",Covenant Not To Sue
164,164,NA,NA,"['PPI hereby grants EKR the exclusive right and license (with the right to sublicense) to use, market, promote, sell, distribute and warehouse the Products (the ""Distribution Rights"") in the Field in the Territory during the Term, as  well as to make or have made the Products anywhere in the world for import or sale in the Field in the Territory in each case, under the PPI  IP provided that PPI retains all rights necessary to manufacture and supply the Products to EKR in accordance with this Agreement and the  Supply Agreement.', 'Subject to the terms of this Agreement, PPI hereby appoints EKR and EKR agrees to be retained as the exclusive  distributor, and Authorized Distributor of Record, of the Products in the Field in the Territory during the Term to market, distribute,  warehouse and sell the Products.', 'PPI hereby grants to EKR a royalty free and exclusive license (with the right to sublicense) to use the  Trademarks in the Territory solely in connection with the exercise of the Distribution Rights in the Territory during the Term (and thereafter  as set forth in Section 17.4) and EKR shall market and sell the Products under the Trademarks.']",Exclusivity
165,165,NA,NA,"['Impresse agrees to purchase at least $[*] of such Banners and Newsletters in each calendar quarter after the Effective Date until a total of $[*] have been purchased, provided, the total dollar amount purchased by Impresse in any calendar quarter shall not consist of greater than 70% of either Banners or Newsletters.', 'During the Term of this Agreement, Impresse agrees to purchase from VerticalNet Banners and Newsletters for a total price of at least $[*] as set forth below in this Section 4.3  [BANNER/NEWSLETTER PURCHASE COMMITMENT].']",Minimum Commitment
166,166,NA,NA,"['If Women.com does not deliver the shortfall within sixty (60) days of the end of the applicable quarter, eDiets may terminate this Agreement in its entirety immediately or authorize Women.com to deliver the shortfall within an extended number of days to be mutually agreed upon by the parties (the ""Make Good Period"").', 'Notwithstanding the foregoing, Women.com does guarantee a minimum of 13,000,000 impressions promoting eDiets per year on the Diet Center.', 'If Women.com does not deliver at least 80% of the Quarterly Impression Guarantee for Advertsing Promotions as set forth on Exhibit B (11,250,000 per quarter; 45,000,000 per year); 80% of the Quarterly Impression Guarantee for the Diet Center Logo as set forth on Exhibit B (3,250,000 per quarter; 13,000,000 per year); and 80% of the Quarterly Impression Guarantee for Other Campaigns as set forth on Exhibit B (3,000,000 per quarter; 12,000,000 per year) each quarter following the Launch Date, within sixty (60) days of the end of the applicable quarter, Women.com shall deliver an amount equal to the under-delivery within the same campaign elements, including newsletters, promotions, exclusive sponsorships, targeted rotations, ROS, channel and sub-channel center logo placements, or mutually agreed upon comparable elements.', ""During the Term, eDiets.com will be guaranteed 12 million circulation per year from and after the Effective Date via newsletters, including but not limited to:      >>  Fashion & Beauty Newsletter: 300,000 subscribers per month      >>  Food News: 180,000 subscribers per month      >>  Prevention: 1,600,000 subscribers per month      >>  Internet Scopes:  2,400,000 subscribers per month      >>  Sex & Romance: 120,000 subscribers per month      >>  What's New: 1,100,000 subscribers per month      >>  Women.com Member Newsletter: 1,700,000 subscribers per month\n\nGuaranteed Circulation Per Year:            12,000,000""]",Minimum Commitment
167,167,NA,NA,"['Cargill shall have the first option to prepare, file, prosecute, and maintain patent applications and issued/granted patents on  Bioamber Improvements and Joint Improvements, which option may be waived in whole or in part.']",Rofr/Rofo/Rofn
168,168,NA,NA,"['LKPL shall have the exclusive right to market and                            sell AMR Product Suites to entities whose corporate                            headquarters are physically located outside the                            United States and its territories.', 'Axiometric shall have the exclusive right to market                            and sell AMR Product Suites to entities whose                            corporate headquarters are physically located in the                            United States and U.S. territories with the exception                            of Datamatic as defined in 3.3.1 and 3.3.2 below', 'LKPL shall have the exclusive right to market and                            sell AMR Product Suites to Datamatic LTD, a Plano TX                            corporation (hereafter Datamatic).']",Exclusivity
169,169,NA,NA,"[""In the event the Closing fails to occur, then, only upon entry of a final and non-appealable order of the Bankruptcy Court determining that such failure was the result of Purchaser's sole, material, non-excusable breach of this Agreement, then Merchant shall be entitled to retain the Deposit as liquidated damages as Merchant's sole remedy for such breach.""]",Liquidated Damages
170,170,NA,NA,"['Any payments made in order to satisfy the ""Minimum Fee"" which can be  characterized as an advance of amounts due from advertising clients which is ""earned but not yet paid"" shall be deducted from the following  year\'s payments when such amounts have in fact been collected.', ""The Minimum Fee shall be prorated to account for (i) any periods during which Network  Affiliate's annual attendance base in the Theatres is lower than the Base Amount, and (ii) reductions in revenue associated with Network  Affiliate's rejection of content as permitted under Section 3.4."", 'For each twelve-month period following the Effective Date during the Term, and as long as Network Affiliate\'s  attendance base in the Theatres for the twelve (12) month period is equal to or greater than 400,000 patrons (the ""Base Amount""), the amount paid  by NCM pursuant to Section 7.1(b) shall be not less than $ .17 per Theatre patron during such period with such amount increasing by 5% on each  anniversary of the Effective Date (the ""Minimum Fee"").']",Minimum Commitment
171,171,NA,NA,"['Except for the transfer and assignment under this Agreement, the Depositor will not transfer or assign any Depositor Transferred Property to another Person or Grant or allow a Lien, other than a Permitted Lien, on an interest in any Depositor Transferred Property.']",Non-Transferable License
172,172,NA,NA,"['As used in this section, ""Competitor"" means: (i) any private or publicly traded real estate investment trust, fund or other investment vehicle or program whose principal place of business is in Virginia or any other state in which the Company owns real estate and whose business strategy is based on investing in, acquiring or developing flex/industrial, retail, multifamily and limited service hotel real estate, whether directly or indirectly through joint ventures, or (ii) any entity whose principal place of business is in Virginia or any other state in which the Company owns real estate and that advises (including any external advisor) such investment vehicles or programs.', 'CONSULTANT agrees that during its consultancy for REIT and for a period of twelve (12) months immediately following the termination of its consultancy with the Company for any reason, whether with or without cause, it will not: (a) have any ownership interest in, or participate in the financing, operation, management or control of, any Competitor; or (b) engage in or perform services for any Competitor, if such services either (1) are the same as or similar to (individually or in the aggregate) the services CONSULTANT performed for the Company during its consultancy with the Company, or (2) are performed with respect to products or services of the Competitor that are competitive with the products or services provided by the Company with which CONSULTANT was involved during its consultancy with the Company or about which it received Proprietary Information during its consultancy with the Company.']",Non-Compete
173,173,NA,NA,"[""EXCEPT FOR EACH PARTY'S CONFIDENTIALITY OBLIGATIONS SET FORTH IN SECTION 12 AND INDEMNIFICATION OBLIGATIONS SET FORTH IN THIS SECTION 13, WITHOUT LIMITING ANY RIGHT DISTRIBUTOR MAY HAVE UNDER LOCAL STATUTES THAT CANNOT BE EXCLUDED, RESTRICTED OR MODIFIED, NEITHER PARTY SHALL BE LIABLE FOR ANY INDIRECT, INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR SPECIAL DAMAGES, OR FOR DAMAGES DUE TO LOSS OF PROFITS, LOSS OF BUSINESS, LOSS OF USE OR DATA, OR INTERRUPTION OF BUSINESS, EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.""]",Uncapped Liability
174,174,NA,NA,"[""EXCEPT WITH RESPECT TO THE PARTIES' LIABILITY FOR INDEMNIFICATION, OR LIABILITY FOR BREACH OF CONFIDENTIALITY, NEITHER PARTY SHALL BE LIABLE FOR ANY CONSEQUENTIAL, INCIDENTAL, INDIRECT, PUNITIVE, SPECIAL OR OTHER SIMILAR DAMAGES, WHETHER OR NOT CAUSED BY THE OTHER PARTY'S EMPLOYEES OR REPRESENTATIVES„ WHETHER UNDER TORT (INCLUDING NEGLIGENCE), CONTRACT OR OTHER THEORIES OF RECOVERY, EVEN IF THE OTHER PARTY WAS OR SHOULD HAVE BEEN AWARE OR WAS ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.""]",Uncapped Liability
175,175,NA,NA,"['Except as expressly permitted under the Trademark License Agreement, Licensee shall not knowingly (a) use the Licensed Domain Names in any manner that tarnishes, degrades, disparages or reflects adversely on Licensor or Licensor\'s business or reputation, (b) in any jurisdiction, register or attempt to register any domain names that consist of, in whole or in part, or are confusingly similar to, the term ""SINA"", (c) contest, challenge or otherwise make any claim or take any action adverse to Licensor\'s interest in the Licensed Domain Names']",Covenant Not To Sue
176,176,NA,NA,"['Subject to the terms and conditions of this Agreement, the Company hereby grants to Seller a perpetual, non- exclusive, royalty-free license in, to and under the Company Licensed Know-How for use in the Arizona Field throughout the world.', 'Subject to the terms and conditions of this Agreement, the Company hereby grants to Seller a perpetual, non-exclusive, royalty-free license in, to and under the Company Licensed Patents for use in the Arizona Field throughout the world.', 'Subject to the terms and conditions of this Agreement, Arizona hereby grants to the Company a perpetual, non-exclusive, royalty-free license in, to and under the Arizona Licensed Patents for use in the Company Field throughout the world.', 'Subject to the terms and conditions of this Agreement, Arizona hereby grants to the Company a perpetual, non- exclusive, royalty-free license in, to and under the Arizona Licensed Copyrights for use in the Company Field throughout the world.', 'Unless earlier terminated pursuant to the provisions hereof, the term of this Agreement and the licenses and other grants of rights (and related obligations) under this Agreement shall (i) with respect to the Arizona Licensed Trademarks, be for the Arizona Trademark License Term, (ii) with respect to the Diamond Licensed Trademarks, be for the Diamond Trademark License Term, (iii) with respect to the Phase- Out Marks, be for the term set forth in Section 6.6, and (iv) with respect to Copyrights, Know-How and Patents, be in perpetuity.', 'Subject to the terms and conditions of this Agreement, Arizona hereby grants to the Company a perpetual, non- exclusive, royalty-free license in, to and under the Arizona Licensed Know-How for use in the Company Field throughout the world.', 'Subject to the terms and conditions of this Agreement, the Company hereby grants to Seller a perpetual, non- exclusive, royalty-free license in, to and under the Company Licensed Copyrights for use in the Arizona Field throughout the world.']",Irrevocable Or Perpetual License
177,177,NA,NA,"['PageMaster Corporation shall not engage in the same or similar                promotion with any other On-Line Casinos from June 1, 1999                through June 1, 2000.', 'Go Call shall not engage in the same or similar promotions during                the Term of this Agreement with any other entity providing paging                services, equipment or other related products and services.']",Exclusivity
178,178,NA,NA,['SCIEN will have six 6) months after the date of this Agreement to Purchase at least 50 vials to be used by the MOH in treating patients with MERS.'],Minimum Commitment
